"","hs.1.","hs.2.","hl","ts.1.","ts.2.","p.1.","p.2.","p.3.","gamma","rho.1.","phi","delta.1.","delta.2.","delta.3.","delta.4.","L.1.","tau.1.","tau.2.","tau.3.","tau.4.","w.1.","lc.1.1.","lc.2.1.","lc.2.2.","lc.2.3.","lc.2.4.","alpha.1.","beta.1.","lc.3.1.","lc.3.2.","lc.3.3.","lc.3.4."
"9300",2.27812,4.35225,77.2859,-3.07834,0.429951,0.215887,0.283695,0.449493,0.419112,2.7685,0.269913,0.192161,0.378398,0.179485,0.153704,1.20521,1.01189,0.0739443,2.50161,1.14437,3.13834,4.89384,6.84639,7.2578,7.01184,5.77802,0.361311,0.281116,5.18723,5.59864,5.35268,4.11886
"10237",2.51828,4.57789,88.0038,-2.93624,-0.564848,0.238354,0.298792,0.470048,0.403398,2.65296,0.212499,0.233793,0.453776,0.163788,0.164434,0.812138,1.55086,2.53397,2.74362,0.162468,3.71228,4.96323,6.94738,7.28367,7.00306,6.3286,0.351852,0.300805,3.80582,4.14211,3.8615,3.18704
"14544",1.34414,3.92167,69.9106,-1.86503,1.10002,0.226608,0.303431,0.477924,0.428033,2.66141,0.239208,0.198694,0.366687,0.147544,0.137576,0.286014,1.47284,0.231443,1.16454,1.61246,2.70109,5.17772,6.65496,6.86941,6.84837,5.8597,0.488168,0.498721,4.71891,4.93336,4.91232,3.92365
"16186",1.8876,4.01552,56.6944,-2.50352,0.743989,0.225812,0.295753,0.46463,0.393949,2.68867,0.312574,0.223986,0.456937,0.17164,0.146449,0.496936,0.569211,1.13663,2.30613,0.189956,2.01962,5.10823,6.64466,6.87178,6.67439,5.75633,0.557819,0.5786,5.829243,6.056363,5.858973,4.940913
"10808",2.37824,4.72542,95.0843,-2.39558,0.148886,0.231065,0.280594,0.44904,0.440525,2.23136,0.24705,0.189376,0.490764,0.161153,0.101918,0.465899,0.797051,1.43948,3.67017,0.370636,3.26843,4.98269,7.03976,7.36412,6.96194,6.19611,0.36537,0.336811,5.60606,5.93042,5.52824,4.76241
"18926",1.62394,4.23487,66.8994,-2.35992,0.334611,0.223966,0.288318,0.453087,0.526747,2.58652,0.215064,0.206334,0.369268,0.164644,0.120897,1.00435,2.01937,0.721493,1.51877,0.940884,2.49336,4.94107,6.7709,6.99818,6.93633,5.99336,0.597361,0.442701,2.80588,3.03316,2.97131,2.02834
"16109",2.54052,4.32658,96.0796,-3.00605,-0.266287,0.216643,0.294497,0.465915,0.395842,2.54322,0.154185,0.175919,0.321388,0.167228,0.16519,0.894532,1.46591,0.822862,1.51644,0.650883,3.3166,4.94573,6.87733,7.28911,6.87135,6.50975,0.419829,0.280124,3.62773,4.03951,3.62175,3.26015
"19322",1.39121,4.46831,91.0252,-2.33706,1.066,0.239857,0.303473,0.489702,0.558015,2.3341,0.279292,0.231018,0.455082,0.189534,0.11754,1.6378,1.11049,0.641965,2.97261,1.51511,1.78152,4.45976,6.73082,6.86237,7.08255,5.91039,0.814557,0.800497,3.89243,4.02398,4.24416,3.072
"17025",2.02458,4.28065,75.6086,-1.15153,0.920593,0.221889,0.301416,0.475672,0.440181,2.54119,0.239662,0.221757,0.480071,0.200455,0.163199,1.25171,1.33995,0.864314,2.26444,1.54506,3.34108,4.64039,6.83874,7.21276,6.84527,6.1256,0.398811,0.325496,5.00216,5.37618,5.00869,4.28902
"4105",1.61957,4.36613,72.9416,-1.79829,0.514936,0.229258,0.296004,0.465971,0.400313,2.37788,0.172202,0.195476,0.363103,0.145212,0.151286,0.760617,1.57245,0.825841,1.3442,0.268132,3.34971,4.84009,6.7505,7.09883,6.82404,6.50395,0.376166,0.462818,6.606252,6.954582,6.679792,6.359702
